id	race	gender	sex.worker	pimp	sex.work.client	drug.dealer	drug.cook	thief	retired	housewife	disabled	unemployed	homeless
2358	4	0	0	0	0	0	0	0	0	0	0	0	0
2359	4	0	0	0	0	0	0	0	0	0	0	0	0
2360	4	1	0	0	0	0	0	0	0	0	0	0	0
2361	4	0	0	0	0	0	0	0	0	0	0	0	0
2362	4	0	0	0	0	0	0	0	0	0	0	0	0
2363	4	1	0	0	0	0	0	0	0	0	0	0	0
2364	4	1	0	0	0	0	0	0	0	0	0	0	0
2365	2	0	0	0	0	0	0	0	0	0	0	0	0
2366	4	0	0	0	0	0	0	0	0	0	0	0	0
2367	4	0	0	0	0	0	0	0	0	0	0	0	0
2368	4	0	0	0	0	0	0	0	0	0	0	0	0
2369	4	0	0	0	0	0	0	0	0	0	0	0	0
2370	4	1	0	0	0	0	0	0	0	0	0	0	0
2371	4	1	0	0	0	0	0	0	0	1	0	0	0
2372	4	0	0	0	0	0	0	0	0	0	0	0	0
2373	4	0	0	0	0	0	0	0	0	0	0	0	0
2374	4	0	0	0	0	0	0	0	0	0	0	0	0
2375	4	1	0	0	0	0	0	0	0	0	0	1	0
2376	4	1	0	0	0	0	0	0	0	0	0	1	0
2377	4	1	0	0	0	0	0	0	0	0	0	0	0
2378	4	1	0	0	0	0	0	0	0	0	0	0	0
2379	4	1	0	0	0	0	0	0	0	0	0	0	0
2380	4	1	0	0	0	0	0	0	0	0	1	1	0
2381	4	1	0	0	0	0	0	0	0	0	0	0	0
2382	4	1	0	0	0	0	0	0	0	0	0	0	0
2383	4	0	0	0	0	0	0	0	0	0	0	0	0
2384	4	1	0	0	0	0	0	0	0	0	0	0	0
2385	4	0	0	0	0	0	0	0	0	0	0	1	0
2386	4	1	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2387	4	0	0	0	0	0	0	0	0	0	0	0	0
2388	4	1	0	0	0	0	0	0	0	0	0	1	0
2389	4	0	0	0	0	0	0	0	0	0	0	0	0
2390	1	0	0	0	0	0	0	0	0	0	0	0	0
2391	4	0	0	0	0	0	0	0	0	0	0	0	0
2392	4	1	0	0	0	0	0	0	0	0	0	0	0
2393	4	0	0	0	0	0	0	0	0	0	0	0	0
2394	4	1	0	0	0	0	0	0	0	0	0	0	0
2395	4	0	0	0	0	0	0	0	0	0	0	0	0
2396	4	1	0	0	0	0	0	0	0	0	0	0	0
2397	4	0	0	0	0	0	0	0	0	0	0	0	0
2398	4	0	0	0	0	0	0	0	0	0	0	1	0
2399	4	1	0	0	0	0	0	0	0	0	0	0	0
2400	4	0	0	0	0	0	0	0	0	0	0	0	0
2401	4	0	0	0	0	0	0	0	0	0	0	0	0
2402	4	0	0	0	0	0	0	0	0	0	0	0	0
2403	1	1	0	0	0	0	0	0	0	0	0	1	0
2404	4	0	0	0	0	0	0	0	0	0	0	0	0
2405	4	0	0	0	0	0	0	0	0	0	0	0	0
2406	4	1	0	0	0	0	0	0	0	1	0	0	0
