id	race	gender	sex.worker	pimp	sex.work.client	drug.dealer	drug.cook	thief	retired	housewife	disabled	unemployed	homeless
2703	4	0	0	0	0	0	0	0	0	0	0	1	0
2704	4	1	0	0	0	0	0	0	0	0	0	0	0
2705	4	0	0	0	0	0	0	0	0	0	0	0	0
2706	4	0	0	0	0	0	0	0	0	0	0	0	0
2707	2	1	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2708	2	1	0	0	0	0	0	0	0	0	0	0	0
2709	2	1	0	0	0	0	0	0	0	0	0	1	0
2710	2	1	0	0	0	0	0	0	0	0	0	1	0
2711	4	1	0	0	0	0	0	0	0	0	0	1	0
2712	4	1	0	0	0	0	0	0	0	0	0	1	0
2713	4	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA
2714	2	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2715	4	0	0	0	1	0	0	0	0	0	0	0	0
2716	4	0	0	0	0	0	0	0	0	0	0	0	0
2717	4	0	0	0	0	0	0	0	0	0	0	0	0
2718	4	0	0	0	0	0	0	0	0	0	0	0	0
2719	4	1	0	0	0	0	0	0	0	0	0	0	0
2720	4	1	0	0	0	0	0	0	0	0	0	0	0
